0    0.8924
1    0.8955
2    0.8976
3    0.9008
4    0.9007
5    0.9016
6    0.9026
7    0.9041
8    0.9052
9    0.9055
10    0.9058
11    0.9062
12    0.9043
13    0.9042
14    0.9048
15    0.9054
16    0.9051
17    0.9048
18    0.9047
19    0.9061
20    0.9045
21    0.9040
22    0.9045
23    0.9045
24    0.9039
25    0.9050
26    0.9042
27    0.9052
28    0.9059
29    0.9052
30    0.9047
31    0.9038
32    0.9048
33    0.9055
34    0.9067
35    0.9063
36    0.9064
37    0.9054
38    0.9060
39    0.9057
40    0.9062
41    0.9061
42    0.9064
43    0.9056
44    0.9082
45    0.9074
46    0.9089
47    0.9099
48    0.9110
49    0.9083
