0    0.8745
1    0.8775
2    0.8841
3    0.8833
4    0.8872
5    0.8909
6    0.8934
7    0.8943
8    0.8933
9    0.8922
10    0.8932
11    0.8954
12    0.8957
13    0.8929
14    0.8947
15    0.8926
16    0.8946
17    0.8953
18    0.9002
19    0.9002
20    0.9011
21    0.9030
22    0.9063
23    0.9047
24    0.9048
25    0.9059
26    0.9038
27    0.9057
28    0.9057
29    0.9068
30    0.9069
31    0.9044
32    0.9040
33    0.9055
34    0.9025
35    0.9028
36    0.9039
37    0.9048
38    0.8994
39    0.9023
40    0.9022
41    0.9028
42    0.9015
43    0.9009
44    0.9011
45    0.9019
46    0.9020
47    0.9009
48    0.8996
49    0.9014
50    0.9003
51    0.9014
52    0.9016
53    0.9023
54    0.9031
55    0.9001
56    0.9032
57    0.9036
58    0.9015
59    0.9030
60    0.9022
61    0.9041
62    0.9056
63    0.9055
64    0.9038
65    0.9035
66    0.9052
67    0.9071
68    0.9041
69    0.9071
70    0.9051
71    0.9028
72    0.9013
73    0.9009
74    0.9013
75    0.8998
76    0.9011
77    0.9005
78    0.9013
79    0.9007
80    0.8985
81    0.9020
82    0.9029
83    0.9025
84    0.9035
85    0.9045
86    0.9047
87    0.9051
88    0.9009
89    0.9003
90    0.9021
91    0.9001
92    0.9032
93    0.9050
94    0.9040
95    0.9021
96    0.9043
97    0.9054
98    0.9067
99    0.9025
