0 25   53   52   53   36   46   55   51   48   62   55   60   54   51   47   48   52   48   51   58   55   58   55   27 
10 36   40   37   25   13   32   39   45   35   34   46   65   29   33   153   56   29   72   55   128   61   77   36   24 
20 54   23   46   15   23   17   43   30   37   30   41   67   33   32   168   42   33   56   75   129   72   54   17   63 
30 27   35   34   10   17   19   35   28   27   39   11   95   40   11   176   30   53   61   77   170   71   43   22   69 
40 18   18   33   22   12   49   45   34   18   36   23   78   48   25   168   25   46   58   81   154   88   47   18   56 
