0 25   45   51   48   40   52   57   40   44   61   61   43   66   52   58   63   48   59   50   56   51   55   43   32 
20 40   13   45   60   24   62   37   20   54   13   69   63   50   60   94   13   26   32   83   95   60   109   45   33 
40 60   14   23   45   29   28   13   22   59   11   51   91   64   61   119   19   63   21   106   125   50   62   39   25 
60 40   17   24   31   44   29   24   9   15   10   83   83   60   59   99   30   52   68   116   100   91   61   45   10 
80 27   22   32   32   16   32   13   16   51   16   57   152   42   22   166   11   45   45   95   125   107   41   29   6 
