0 30   53   59   45   70   41   46   60   54   56   40   35   52   59   52   50   44   52   46   54   48   50   51   50   55   45   44   48   69   59   54   54   47   28 
30 48   28   59   31   80   24   80   86   24   18   25   28   40   37   55   56   17   17   37   128   87   32   54   93   68   33   115   76   36   40   32   38   52   26 
60 11   50   62   40   85   60   47   33   28   15   28   42   54   34   44   31   37   13   46   111   82   55   40   139   55   27   162   82   31   35   21   27   32   41 
90 20   52   71   115   77   40   58   32   46   20   21   41   47   14   42   44   19   30   34   98   68   27   38   131   59   25   129   73   45   37   38   21   46   42 
