0    0.8729
1    0.8787
2    0.8797
3    0.8822
4    0.8840
5    0.8855
6    0.8874
7    0.8879
8    0.8878
9    0.8891
10    0.8889
11    0.8911
12    0.8913
13    0.8937
14    0.8952
15    0.8970
16    0.8968
17    0.8989
18    0.8993
19    0.9010
20    0.9015
21    0.9014
22    0.8978
23    0.9021
24    0.8995
25    0.9026
26    0.9046
27    0.9036
28    0.9010
29    0.9014
30    0.9013
31    0.9026
32    0.9043
33    0.9014
34    0.9028
35    0.9004
36    0.9010
37    0.9005
38    0.9015
39    0.8995
40    0.9001
41    0.9010
42    0.9014
43    0.9027
44    0.9007
45    0.9005
46    0.9008
47    0.9003
48    0.8983
49    0.9023
