0 30   63   49   59   66   48   48   44   52   61   65   51   40   47   56   56   56   45   55   47   41   48   44   38   49   51   48   60   45   52   52   49   62   23 
20 82   40   47   45   120   55   48   39   59   22   48   33   68   11   44   51   39   27   44   109   45   16   43   103   65   33   70   113   31   37   30   28   45   10 
40 37   43   48   40   94   56   29   55   44   30   29   39   40   47   29   70   45   27   37   119   115   24   35   113   48   39   94   71   35   44   22   28   51   23 
60 28   64   30   40   86   37   38   19   22   13   34   22   61   31   59   48   52   18   63   132   49   24   75   116   37   60   144   75   27   27   68   36   38   27 
80 39   41   19   74   98   42   53   32   29   31   32   16   90   49   59   50   37   25   45   106   68   42   27   116   43   15   100   129   16   32   22   36   62   25 
