0 25   38   45   42   52   55   58   43   49   48   53   56   45   46   53   59   51   72   50   49   54   55   41   59   64   51   44   57   48   45   57   58   56   22 
30 20   70   30   83   111   54   53   51   35   26   16   24   43   68   71   30   37   21   46   157   27   29   12   112   28   32   88   93   41   21   40   47   61   23 
60 22   54   24   49   82   50   38   46   29   4   15   39   66   26   59   38   39   27   32   116   62   39   11   121   46   38   151   92   46   27   42   40   71   59 
90 14   99   27   43   107   51   41   31   32   29   46   36   87   58   70   34   15   23   28   125   29   28   48   124   25   34   141   65   13   21   27   32   66   51 
