0 21   46   44   60   58   33   59   62   48   40   39   52   53   51   49   55   65   51   51   59   45   54   45   59   60   60   54   48   39   62   50   41   53   34 
30 20   50   38   46   90   34   71   24   80   27   27   37   53   30   75   49   48   54   40   50   70   26   17   102   59   34   82   83   43   54   51   36   47   53 
60 33   54   35   51   71   21   65   33   44   18   32   33   73   38   85   34   28   39   40   59   65   12   27   135   71   33   117   69   15   70   62   39   47   52 
90 30   49   56   35   102   33   82   28   38   23   51   22   87   70   46   70   16   24   41   94   76   50   35   88   64   33   78   41   48   35   21   41   51   42 
