0    0.8936
1    0.8965
2    0.8988
3    0.8993
4    0.9010
5    0.9018
6    0.9029
7    0.9038
8    0.9047
9    0.9064
10    0.9064
11    0.9056
12    0.9050
13    0.9065
14    0.9063
15    0.9061
16    0.9064
17    0.9066
18    0.9076
19    0.9075
20    0.9070
21    0.9085
22    0.9086
23    0.9084
24    0.9081
25    0.9092
26    0.9080
27    0.9097
28    0.9097
29    0.9083
30    0.9083
31    0.9086
32    0.9091
33    0.9096
34    0.9102
35    0.9099
36    0.9096
37    0.9088
38    0.9092
39    0.9091
40    0.9099
41    0.9094
42    0.9086
43    0.9080
44    0.9098
45    0.9084
46    0.9084
47    0.9076
48    0.9080
49    0.9061
