0	0.7890
1	0.8028
2	0.8083
3	0.8139
4	0.8166
5	0.8178
6	0.8207
7	0.8216
8	0.8226
9	0.8280
10	0.8261
11	0.8231
12	0.8285
13	0.8264
14	0.8324
15	0.8262
16	0.8294
17	0.8325
18	0.8318
19	0.8329
20	0.8326
21	0.8336
22	0.8293
23	0.8318
24	0.8336
25	0.8317
26	0.8346
27	0.8295
28	0.8314
29	0.8287
30	0.8295
31	0.8299
32	0.8293
33	0.8328
34	0.8264
35	0.8317
36	0.8353
37	0.8354
38	0.8362
39	0.8299
40	0.8327
41	0.8328
42	0.8334
43	0.8361
44	0.8329
45	0.8305
46	0.8339
47	0.8345
48	0.8297
49	0.8322
50	0.8374
51	0.8355
52	0.8319
53	0.8336
54	0.8313
55	0.8310
56	0.8318
57	0.8312
58	0.8327
59	0.8345
60	0.8358
61	0.8333
62	0.8339
63	0.8340
64	0.8317
65	0.8340
66	0.8289
67	0.8361
68	0.8341
69	0.8419
70	0.8418
71	0.8409
72	0.8414
73	0.8412
74	0.8408
75	0.8372
76	0.8381
77	0.8328
78	0.8349
79	0.8342
80	0.8305
81	0.8342
82	0.8326
83	0.8359
84	0.8375
85	0.8388
86	0.8343
87	0.8355
88	0.8326
89	0.8350
90	0.8357
91	0.8380
92	0.8400
93	0.8355
94	0.8351
95	0.8395
96	0.8346
97	0.8364
98	0.8397
99	0.8405
