0	14
1	15
2	12
3	13
4	13
5	13
6	13
7	10
8	14
9	13
10	13
11	13
12	13
13	16
14	15
15	15
16	13
17	12
18	12
19	11
20	12
21	10
22	13
23	13
24	15
25	11
26	11
27	11
28	14
29	14
30	14
31	13
32	13
33	15
34	13
35	11
36	11
37	9
38	13
39	11
40	12
41	12
42	12
43	12
44	12
45	11
46	11
47	12
48	15
49	11
50	11
51	13
52	12
53	12
54	12
55	13
56	13
57	12
58	12
59	12
60	12
61	13
62	11
63	11
64	10
65	11
66	11
67	12
68	11
69	12
70	12
71	12
72	11
73	11
74	8
75	9
76	9
77	9
78	9
79	10
80	11
81	10
82	7
83	12
84	12
85	10
86	10
87	10
88	11
89	11
90	11
91	11
92	12
93	10
94	11
95	12
96	12
97	10
98	10
99	12
