0    0.8256
1    0.8373
2    0.8522
3    0.8694
4    0.8799
5    0.8831
6    0.8882
7    0.8914
8    0.8995
9    0.8999
10    0.9022
11    0.9052
12    0.8985
13    0.8999
14    0.8971
15    0.8997
16    0.8905
17    0.8924
18    0.8924
19    0.8892
20    0.8924
21    0.9004
22    0.9030
23    0.9058
24    0.8970
25    0.9002
26    0.8949
27    0.9069
28    0.9017
29    0.8994
30    0.9026
31    0.9015
32    0.9026
33    0.8945
34    0.8979
35    0.8986
36    0.9003
37    0.9016
38    0.9053
39    0.9019
40    0.9052
41    0.9073
42    0.9067
43    0.9127
44    0.8971
45    0.8921
46    0.8983
47    0.9014
48    0.9060
49    0.9092
